# time x_sun y_sun x_mercury y_mercury x_venus y_venus x_earth y_earth x_mars y_mars x_jupiter y_jupiter x_neptune y_neptune x_uranus y_uranus x_neptune y_neptune energy_error
0.71001 0.000389259 8.33382e-05 0.277179 -0.147269 0.398294 0.600367 -0.280903 -0.964213 -1.2972 0.988725 4.55393 1.99665 29.7872 0.820804 18.2592 1.06681 29.7872 0.820804 -4.59916e-10
0.72001 0.000399952 8.59424e-05 0.306636 -0.0277946 0.334723 0.638474 -0.220058 -0.978852 -1.32757 0.952371 4.54278 2.0232 29.7868 0.832361 18.2584 1.08182 29.7868 0.832361 -1.06628e-09
0.73001 0.000410798 8.86134e-05 0.295252 0.0953478 0.267627 0.669853 -0.158351 -0.989667 -1.35675 0.915155 4.53149 2.04968 29.7865 0.843919 18.2575 1.09683 29.7865 0.843919 -1.5871e-09
0.74001 0.000421795 9.13552e-05 0.245355 0.20622 0.197721 0.694187 -0.0960227 -0.996604 -1.3847 0.877115 4.52005 2.0761 29.7862 0.855476 18.2567 1.11183 29.7862 0.855476 -1.84875e-09
0.75001 0.00043294 9.4171e-05 0.166198 0.292856 0.125743 0.711235 -0.0333152 -0.999624 -1.41141 0.838289 4.50847 2.10245 29.7859 0.867033 18.2558 1.12684 29.7859 0.867033 -1.84042e-09
0.76001 0.000444229 9.70629e-05 0.0697489 0.349594 0.0524525 0.720832 0.0295254 -0.998701 -1.43686 0.798716 4.49674 2.12873 29.7855 0.87859 18.2549 1.14185 29.7855 0.87859 -1.66189e-09
0.77001 0.00045566 0.000100032 -0.0329745 0.37608 -0.0213819 0.722896 0.0922508 -0.993827 -1.46103 0.758434 4.48487 2.15495 29.7852 0.890147 18.254 1.15685 29.7852 0.890147 -1.4158e-09
0.78001 0.000467228 0.000103078 -0.133461 0.375067 -0.0949886 0.717419 0.154612 -0.985009 -1.48391 0.717482 4.47285 2.18109 29.7848 0.901704 18.2531 1.17186 29.7848 0.901704 -1.16363e-09
0.79001 0.000478932 0.000106202 -0.225737 0.350621 -0.167602 0.704477 0.216359 -0.972269 -1.50548 0.675897 4.46069 2.20717 29.7845 0.91326 18.2521 1.18686 29.7845 0.91326 -9.31315e-10
0.80001 0.000490768 0.000109403 -0.305828 0.307099 -0.238469 0.684217 0.277245 -0.955646 -1.52574 0.633719 4.44839 2.23317 29.7841 0.924817 18.2512 1.20186 29.7841 0.924817 -7.25151e-10
0.81001 0.000502737 0.000112681 -0.371171 0.24869 -0.306859 0.656866 0.337021 -0.935193 -1.54465 0.590986 4.43595 2.25911 29.7838 0.936373 18.2503 1.21687 29.7838 0.936373 -5.4289e-10
